id,question,orientation,intention,palier,difficulte,langue,comportement_attendu,comportement_obtenu,orientation_predite,intention_predite,intention_correcte,comportement_correct,exactitude,couverture_ok,escalade_attendue,escalade_obtenue,escalade_pertinente,ancrage_score,ancrage_justification,pertinence_score,pertinence_justification,reponse,sources_utilisees
Q011,Quel est le plafond de retrait avec le palier Go ?,informationnel,plafond_retrait,Go,moyen,fr,repondre,repondre,informationnel,plafond_retrait,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (67%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (67%). (critère: pertinence),"Avec le palier Go, le plafond de retrait est de 1500 DH par mois. (source : fiche_tarifs_v1)","KB-INF-GO-PLAFOND-OLD,KB-INF-GO-PLAFOND"
Q012,Combien je peux retirer max par mois en Go ?,informationnel,plafond_retrait,Go,moyen,fr,repondre,repondre,informationnel,plafond_retrait,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (67%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (67%). (critère: pertinence),"Avec le palier Go, le plafond de retrait est de 1500 DH par mois. (source : fiche_tarifs_v1)","KB-INF-GO-PLAFOND-OLD,KB-INF-GO-PLAFOND"
Q013,Chhal n9der nrtire flouss b Go fchhar ?,informationnel,plafond_retrait,Go,difficile,darija_latin,repondre,repondre,informationnel,plafond_retrait,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (67%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (67%). (critère: pertinence),"Avec le palier Go, le plafond de retrait est de 1500 DH par mois. (source : fiche_tarifs_v1)","KB-INF-GO-PLAFOND-OLD,KB-INF-GO-PLAFOND"
Q014,Quel est le plafond de retrait du palier Plus ?,informationnel,plafond_retrait,Plus,facile,fr,repondre,repondre,informationnel,plafond_retrait,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),"Avec le palier Plus, le plafond de retrait est de 5000 DH par mois, sans frais supplémentaires. (source : fiche_tarifs_v3)",KB-INF-PLUS-PLAFOND
Q015,Y a-t-il un plafond de retrait avec Prime ?,informationnel,plafond_retrait,Prime,facile,fr,repondre,repondre,informationnel,plafond_retrait,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (67%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (67%). (critère: pertinence),"Avec le palier Prime, il n'y a pas de plafond de retrait mensuel. (source : fiche_tarifs_v3)",KB-INF-PRIME-PLAFOND
Q016,Le plafond de retrait Metal a l'etranger c'est combien ?,informationnel,plafond_retrait,Metal,moyen,fr,repondre,repondre,informationnel,plafond_retrait,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (70%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (70%). (critère: pertinence),"Avec le palier Metal, il n'y a pas de plafond de retrait, y compris à l'étranger. (source : fiche_tarifs_v3)",KB-INF-METAL-PLAFOND
Q017,Un virement vers une autre banque coute combien en Go ?,informationnel,frais_virement,Go,moyen,fr,repondre,repondre,informationnel,tarif_palier,0,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Go est gratuit : 0 DH/mois. Il inclut une carte virtuelle et 3 retraits gratuits par mois en distributeur Simple. (source : fiche_tarifs_v3),KB-INF-GO-TARIF
Q018,Virement vers Simple gratuit en Go ?,informationnel,frais_virement,Go,facile,fr,repondre,repondre,informationnel,tarif_palier,0,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (77%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (77%). (critère: pertinence),Le palier Go est gratuit : 0 DH/mois. Il inclut une carte virtuelle et 3 retraits gratuits par mois en distributeur Simple. (source : fiche_tarifs_v3),KB-INF-GO-TARIF
Q019,Les virements sont gratuits avec Plus ?,informationnel,frais_virement,Plus,facile,fr,repondre,repondre,informationnel,tarif_palier,0,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),"Le palier Plus coûte 19 DH/mois. Il inclut une carte physique, 10 retraits gratuits par mois et l'assurance achats en ligne. (source : fiche_tarifs_v3)",KB-INF-PLUS-TARIF
Q020,Est-ce que je paye des frais de virement avec Prime ?,informationnel,frais_virement,Prime,facile,fr,repondre,repondre,informationnel,frais_virement,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (82%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (82%). (critère: pertinence),"Avec les paliers Plus, Prime et Metal, tous les virements (Simple ou vers une autre banque) sont gratuits et illimités. (source : fiche_tarifs_v3)",KB-INF-PLUSPRIMEMETAL-VIREMENT
Q021,Virement b Metal khass thelsi ?,informationnel,frais_virement,Metal,moyen,darija_latin,repondre,repondre,informationnel,frais_virement,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (82%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (82%). (critère: pertinence),"Avec les paliers Plus, Prime et Metal, tous les virements (Simple ou vers une autre banque) sont gratuits et illimités. (source : fiche_tarifs_v3)",KB-INF-PLUSPRIMEMETAL-VIREMENT
Q022,Comment changer de palier ?,informationnel,changer_palier,,facile,fr,repondre,repondre,informationnel,changer_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (89%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (89%). (critère: pertinence),"Le changement de palier est possible à tout moment depuis l'application, dans Profil > Mon abonnement. Le nouveau tarif s'applique dès le mois suivant. Aucun frais de changement. (source : guide_abonnement_v2)",KB-INF-CHANGEMENT-PALIER
Q023,"Je veux passer de Go a Prime, comment faire ?",informationnel,changer_palier,,moyen,fr,repondre,repondre,informationnel,changer_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (89%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (89%). (critère: pertinence),"Le changement de palier est possible à tout moment depuis l'application, dans Profil > Mon abonnement. Le nouveau tarif s'applique dès le mois suivant. Aucun frais de changement. (source : guide_abonnement_v2)",KB-INF-CHANGEMENT-PALIER
Q024,Kifach nbeddel min Go l Plus ?,informationnel,changer_palier,,difficile,darija_latin,repondre,escalader,informationnel,changer_palier,1,0,0.0,1,0,1,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q025,Qui peut prendre le palier Metal ?,informationnel,eligibilite_palier,Metal,moyen,fr,repondre,repondre,informationnel,eligibilite_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),Le palier Metal est réservé aux clients majeurs ayant un compte Simple actif depuis au moins 3 mois. (source : guide_abonnement_v2),KB-INF-ELIGIBILITE-METAL
Q026,Est-ce que je suis eligible a Metal si j'ai ouvert mon compte hier ?,informationnel,eligibilite_palier,Metal,difficile,fr,repondre,repondre,informationnel,eligibilite_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),Le palier Metal est réservé aux clients majeurs ayant un compte Simple actif depuis au moins 3 mois. (source : guide_abonnement_v2),KB-INF-ELIGIBILITE-METAL
Q027,Conditions pour avoir la carte Metal ?,informationnel,eligibilite_palier,Metal,moyen,fr,repondre,repondre,informationnel,eligibilite_palier,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (80%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (80%). (critère: pertinence),Le palier Metal est réservé aux clients majeurs ayant un compte Simple actif depuis au moins 3 mois. (source : guide_abonnement_v2),KB-INF-ELIGIBILITE-METAL
Q028,"Ma carte est bloquee apres 3 mauvais codes, que faire ?",support,carte_bloquee,,facile,fr,repondre,repondre,support,carte_bloquee,1,1,1.0,1,0,0,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"Si votre carte est bloquée après 3 codes erronés, débloquez-la depuis l'application dans Carte > Débloquer. CRITERE D'ESCALADE : si le déblocage échoue 2 fois, transférer à un conseiller humain. (source : procedures_sav_v4)",KB-SUP-CARTE-BLOQUEE
Q029,Comment debloquer ma carte ?,support,carte_bloquee,,facile,fr,repondre,repondre,support,carte_bloquee,1,1,1.0,1,0,0,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"Si votre carte est bloquée après 3 codes erronés, débloquez-la depuis l'application dans Carte > Débloquer. CRITERE D'ESCALADE : si le déblocage échoue 2 fois, transférer à un conseiller humain. (source : procedures_sav_v4)",KB-SUP-CARTE-BLOQUEE
Q030,"Carti dyali masdouda, kifach ndebloquiha ?",support,carte_bloquee,,difficile,darija_latin,repondre,escalader,support,carte_bloquee,1,0,0.0,1,0,1,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q031,"J'ai perdu ma carte, comment faire opposition ?",support,opposition_carte,,facile,fr,repondre,repondre,support,opposition_carte,1,1,1.0,1,0,0,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"Pour faire opposition à une carte perdue ou volée, allez dans Carte > Faire opposition, disponible 24h/24. CRITERE D'ESCALADE : si le client signale une perte à l'étranger ou une fraude avérée, transférer immédiatement à un conseiller humain. (source : procedures_sav_v4)",KB-SUP-OPPOSITION-CARTE
Q032,"Ma carte a ete volee, je fais comment ?",support,opposition_carte,,facile,fr,repondre,escalader,support,hors_perimetre,0,0,0.0,0,0,1,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q033,"J'ai perdu ma carte a l'etranger pendant un voyage, aidez moi",support,opposition_carte,,difficile,fr,escalader,escalader,support,opposition_carte,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Votre situation nécessite l'intervention d'un conseiller humain. Je vous transfère immédiatement.,KB-SUP-OPPOSITION-CARTE
Q034,Ma carte a ete volee a l'etranger et quelqu'un l'utilise,support,opposition_carte,,difficile,fr,escalader,escalader,support,hors_perimetre,0,1,,0,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q035,Je vois une transaction que je n'ai pas faite sur mon compte,support,fraude,,moyen,fr,escalader,repondre,support,fraude,1,0,,1,1,0,0.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),"En cas de transaction suspecte non reconnue, signalez-la dans Carte > Signaler une fraude. CRITERE D'ESCALADE : tout signalement de fraude doit être transféré immédiatement à un conseiller humain, sans exception. (source : procedures_sav_v4)",KB-SUP-FRAUDE
Q036,"On a pirate mon compte je crois, il y a des paiements bizarres",support,fraude,,difficile,fr,escalader,escalader,support,fraude,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q037,Chi 7ad sra9 flousi mn compte dyali,support,fraude,,difficile,darija_latin,escalader,escalader,support,fraude,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q038,"Un commerçant m'a facture 2 fois le meme achat, comment contester ?",support,litige_paiement,,moyen,fr,repondre,repondre,support,litige_paiement,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (89%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (89%). (critère: pertinence),"En cas de paiement contesté (montant incorrect, commerçant non reconnu), ouvrez un litige dans Paiements > Contester un paiement. Le traitement prend jusqu'à 10 jours ouvrés. (source : procedures_sav_v4)",KB-SUP-LITIGE-PAIEMENT
Q039,"Je ne reconnais pas un paiement de 30 DH, comment faire un litige ?",support,litige_paiement,,moyen,fr,repondre,repondre,support,litige_paiement,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (89%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (89%). (critère: pertinence),"En cas de paiement contesté (montant incorrect, commerçant non reconnu), ouvrez un litige dans Paiements > Contester un paiement. Le traitement prend jusqu'à 10 jours ouvrés. (source : procedures_sav_v4)",KB-SUP-LITIGE-PAIEMENT
Q040,"J'ai un paiement conteste de 15000 DH chez un commercant que je ne connais pas du tout, je pense que c'est grave",support,litige_paiement,,difficile,fr,escalader,repondre,support,litige_paiement,1,0,,1,1,0,0.0,2.0,Fort recouvrement lexical avec les sources (89%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (89%). (critère: pertinence),"En cas de paiement contesté (montant incorrect, commerçant non reconnu), ouvrez un litige dans Paiements > Contester un paiement. Le traitement prend jusqu'à 10 jours ouvrés. (source : procedures_sav_v4)",KB-SUP-LITIGE-PAIEMENT
Q041,"Paiement enorme et suspect sur mon compte, montant tres eleve, je panique",support,litige_paiement,,difficile,fr,escalader,escalader,support,hors_perimetre,0,1,,0,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q042,"Mon compte est bloque depuis ce matin, que dois-je faire ?",support,compte_bloque,,moyen,fr,escalader,repondre,support,compte_bloque,1,0,,1,1,0,0.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Un compte peut être bloqué suite à un contrôle de sécurité automatique. CRITERE D'ESCALADE : un compte bloqué nécessite toujours l'intervention d'un conseiller humain pour le débloquer. (source : procedures_sav_v4),KB-SUP-COMPTE-BLOQUE
Q043,"Compte dyali masdoud, 3afak chnahowa lmochkil ?",support,compte_bloque,,difficile,darija_latin,escalader,repondre,support,compte_bloque,1,0,,1,1,0,0.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Un compte peut être bloqué suite à un contrôle de sécurité automatique. CRITERE D'ESCALADE : un compte bloqué nécessite toujours l'intervention d'un conseiller humain pour le débloquer. (source : procedures_sav_v4),KB-SUP-COMPTE-BLOQUE
Q044,Pouvez-vous m'aider a declarer mes impots sur le revenu ?,support,hors_perimetre,,difficile,fr,escalader,escalader,support,hors_perimetre,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q045,Quel est le cours de l'action Simple en bourse aujourd'hui ?,support,hors_perimetre,,difficile,fr,escalader,escalader,support,hors_perimetre,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q046,Pouvez-vous me recommander un avocat pour mon divorce ?,support,hors_perimetre,,difficile,fr,escalader,escalader,support,hors_perimetre,1,1,,1,1,1,1.0,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
Q047,Comment ouvrir un compte Simple ?,onboarding,ouverture_compte,,facile,fr,repondre,repondre,onboarding,ouverture_compte,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"L'ouverture d'un compte Simple se fait 100% en ligne en 3 étapes : pièce d'identité, selfie de vérification, choix du palier. Compte actif en moins de 10 minutes. (source : guide_onboarding_v2)",KB-ONB-OUVERTURE-COMPTE
Q048,C'est long pour ouvrir un compte chez vous ?,onboarding,ouverture_compte,,facile,fr,repondre,repondre,onboarding,ouverture_compte,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"L'ouverture d'un compte Simple se fait 100% en ligne en 3 étapes : pièce d'identité, selfie de vérification, choix du palier. Compte actif en moins de 10 minutes. (source : guide_onboarding_v2)",KB-ONB-OUVERTURE-COMPTE
Q049,Kifach n7el compte f Simple ?,onboarding,ouverture_compte,,difficile,darija_latin,repondre,repondre,onboarding,ouverture_compte,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"L'ouverture d'un compte Simple se fait 100% en ligne en 3 étapes : pièce d'identité, selfie de vérification, choix du palier. Compte actif en moins de 10 minutes. (source : guide_onboarding_v2)",KB-ONB-OUVERTURE-COMPTE
Q050,Comment faire mon premier virement ?,onboarding,premiere_utilisation,,facile,fr,repondre,repondre,onboarding,premiere_utilisation,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"Pour effectuer votre premier virement, ajoutez d'abord un bénéficiaire dans Virements > Ajouter un bénéficiaire, puis suivez le parcours de virement habituel. (source : guide_onboarding_v2)",KB-ONB-PREMIER-VIREMENT
Q051,"Je viens de creer mon compte, comment envoyer de l'argent a un ami ?",onboarding,premiere_utilisation,,moyen,fr,repondre,repondre,onboarding,premiere_utilisation,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"Pour effectuer votre premier virement, ajoutez d'abord un bénéficiaire dans Virements > Ajouter un bénéficiaire, puis suivez le parcours de virement habituel. (source : guide_onboarding_v2)",KB-ONB-PREMIER-VIREMENT
Q052,Kifach ndir l virement lawal dyali ?,onboarding,premiere_utilisation,,difficile,darija_latin,repondre,repondre,onboarding,premiere_utilisation,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (83%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (83%). (critère: pertinence),"Pour effectuer votre premier virement, ajoutez d'abord un bénéficiaire dans Virements > Ajouter un bénéficiaire, puis suivez le parcours de virement habituel. (source : guide_onboarding_v2)",KB-ONB-PREMIER-VIREMENT
Q053,Est-ce que j'ai acces a l'epargne avec Plus ?,onboarding,service_eligible,Plus,moyen,fr,repondre,repondre,onboarding,service_eligible,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (81%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (81%). (critère: pertinence),"Le service d'épargne rémunérée est proposé automatiquement aux clients des paliers Plus, Prime et Metal après 1 mois d'ancienneté. (source : guide_onboarding_v2)",KB-ONB-ELIGIBLE-EPARGNE
Q054,"Je suis en Prime, je peux ouvrir une epargne remuneree ?",onboarding,service_eligible,Prime,moyen,fr,repondre,repondre,onboarding,service_eligible,1,1,0.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (81%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (81%). (critère: pertinence),Le service de micro-crédit instantané est proposé aux clients des paliers Prime et Metal ayant un historique d'au moins 3 mois. (source : guide_onboarding_v2),KB-ONB-ELIGIBLE-CREDIT
Q055,Le micro-credit instantane c'est pour quel palier ?,onboarding,service_eligible,Prime,moyen,fr,repondre,repondre,onboarding,service_eligible,1,1,1.0,1,0,0,,2.0,Fort recouvrement lexical avec les sources (81%). (critère: ancrage),2.0,Fort recouvrement lexical avec les sources (81%). (critère: pertinence),Le service de micro-crédit instantané est proposé aux clients des paliers Prime et Metal ayant un historique d'au moins 3 mois. (source : guide_onboarding_v2),"KB-ONB-ELIGIBLE-CREDIT,KB-ONB-ELIGIBLE-GO,KB-ONB-ELIGIBLE-EPARGNE"
Q056,"Je suis client Metal depuis 4 mois, je peux avoir un credit instantane ?",onboarding,service_eligible,Metal,difficile,fr,repondre,escalader,onboarding,service_eligible,1,0,0.0,1,0,1,,2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: ancrage),2.0,La réponse n'affirme rien hors des sources (escalade ou refus explicite). (critère: pertinence),Je n'ai aucune information fiable sur ce sujet dans mes sources. Je vous oriente vers un conseiller humain pour traiter votre demande.,
